"codigo_departamento","nombre_departamento"
"11","BOGOTA"
"13","BOLIVAR"
"15","BOYACA"
"17","CALDAS"
"18","CAQUETA"
"19","CAUCA"
"20","CESAR"
"22323","luzsolar"
"23","CORDOBA"
"23232323","bbbbb"
"25","CUNDINAMARCA"
"27","CHOCO"
"34343434","tttttttttttttt"
"41","HUILA"
"44","LA GUAJIRA"
"47","MAGDALENA"
"5","ANTIOQUIA"
"50","META"
"52","NARIÃ‘O"
"54","N. DE SANTANDER"
"56567878","ssssssssssssssssss"
"63","QUINDIO"
"66","RISARALDA"
"68","SANTANDER"
"70","SUCRE"
"73","TOLIMA"
"76","VALLE DEL CAUCA"
"8","ATLANTICO"
"81","ARAUCA"
"85","CASANARE"
"86","PUTUMAYO"
"88","SAN ANDRES"
"91","AMAZONAS"
"94","GUAINIA"
"95","GUAVIARE"
"97","VAUPES"
"99","VICHADA"
